id,season,city,date,team1,team2,toss_winner,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match
359,2012,Hyderabad,08-05-2012,Kings XI Punjab,Deccan Chargers,Deccan Chargers,normal,0,Kings XI Punjab,25,0,Mandeep Singh
360,2012,Mumbai,09-05-2012,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,normal,0,Royal Challengers Bangalore,0,9,CH Gayle
361,2012,Jaipur,10-05-2012,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,normal,0,Chennai Super Kings,0,4,BW Hilfenhaus
362,2012,Pune,11-05-2012,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,normal,0,Royal Challengers Bangalore,35,0,CH Gayle
363,2012,Kolkata,12-05-2012,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,normal,0,Mumbai Indians,27,0,RG Sharma
364,2012,Chennai,12-05-2012,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,normal,0,Chennai Super Kings,0,9,BW Hilfenhaus
365,2012,Jaipur,13-05-2012,Rajasthan Royals,Pune Warriors,Rajasthan Royals,normal,0,Rajasthan Royals,45,0,A Chandila
366,2012,Chandigarh,13-05-2012,Deccan Chargers,Kings XI Punjab,Deccan Chargers,normal,0,Kings XI Punjab,0,4,DJ Hussey
367,2012,Bangalore,14-05-2012,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,normal,0,Mumbai Indians,0,5,AT Rayudu
368,2012,Kolkata,14-05-2012,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,normal,0,Chennai Super Kings,0,5,MEK Hussey
369,2012,Delhi,15-05-2012,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,normal,0,Delhi Daredevils,0,5,UT Yadav
370,2012,Mumbai,16-05-2012,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,normal,0,Kolkata Knight Riders,32,0,SP Narine
371,2012,Dharamsala,17-05-2012,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,normal,0,Kings XI Punjab,0,6,AC Gilchrist
